cvrnum;employees;established;pubyear;liquidityratio;roi;solvencyratio;netturnover;grossprofit;equity;netresult;currency;
27446469;500 - 999;2003;2019;102,1;7,5;28,4;6.259.656;1.874.495;2.792.192;78.907;DKK;
10086264;2 - 4;2002;2019;155,16;28,6;39,3;-;1.691;745;365;DKK;
26406137;10 - 19;2002;2019;154,8;30,6;38,7;-;15.448;5.261;3.272;DKK;
35515046;100 - 199;2013;2019;102,02;11,9;39,3;-;80.594;25.110;5.537;DKK;
10086876;20 - 49;1985;2019;303,86;14,5;56,4;-;24.051;17.068;3.899;DKK;
10087953;5 - 9;2002;2019;191,99;10,5;53,4;-;3.136;1.768;249;DKK;
10089751;100 - 199;2002;2019;94,84;-5;1,7;551.191;75.700;5.905;-17.223;DKK;
10090520;-;2002;2019;1,19;12,8;-875,8;-;44;-3.032;-910;DKK;
10090725;10 - 19;2002;2019;189,07;40,8;49,2;-;7.491;3.680;2.351;DKK;
10092752;10 - 19;2002;2019;135,82;4,8;32,2;-;7.778;6.288;552;DKK;
10092922;200 - 499;2002;2018;161,27;-7,6;38,9;2.824.426;75.466;944.969;-225.646;DKK;
41853816;-;1972;2019;123,03;12,3;27,7;5.931.000;2.857.000;1.921.000;627.000;DKK;
32664776;2 - 4;2010;2019;109,15;5;8,5;-;919;438;123;DKK;
10097924;50 - 99;2002;2019;170,56;2,2;23;-;16.262;9.589;555;DKK;
57008113;200 - 499;1957;2019;181,08;8,5;48;437.889;145.898;148.535;19.309;DKK;
27224725;5 - 9;2003;2018;92,92;-5;25,3;-;1.380;441;-81;DKK;
10101565;100 - 199;2002;2019;163,98;9,2;44,1;-;43.989;52.653;5.788;DKK;
31867452;5 - 9;2014;2019;178,87;3,9;73,9;-;1.707;2.212;88;DKK;
28321074;5 - 9;2005;2019;253,7;18,8;61,1;-;1.916;1.992;472;DKK;
10106168;10 - 19;2003;2019;156,58;9,8;54,9;-;2.795;1.811;246;DKK;
11155049;10 - 19;1987;2019;61,03;-26,6;-7,5;-;30;-294;-1.200;DKK;
10109264;5 - 9;2003;2019;130,36;3,2;30;-;1.278;2.086;86;DKK;
36920688;10 - 19;2015;2019;107,22;-2,7;2,3;-;8.954;1.063;-1.548;DKK;
10110920;10 - 19;2003;2019;154,96;28,2;47,1;-;5.414;2.445;1.162;DKK;
26990408;2 - 4;2004;2019;98,37;4,2;3,8;-;696;128;113;DKK;
10112354;500 - 999;2003;2019;109,41;-13,9;12,6;817.474;398.288;40.385;-54.896;DKK;
15282282;5 - 9;1991;2019;215,81;12,8;50,1;-;4.107;3.008;549;DKK;
70963116;5 - 9;1982;2019;210,99;14,2;57,1;-;3.143;1.476;281;DKK;
33765010;5 - 9;2011;2019;99,7;7,3;7,4;-;1.536;53;51;DKK;
10114268;2 - 4;2002;2019;220,33;41,9;58,1;-;2.912;812;458;DKK;
10114756;10 - 19;2002;2019;108,34;7,6;30,6;-;7.414;840;134;DKK;
76490511;500 - 999;1985;2018;109,02;-12,2;26,6;1.984.773;-184.498;1.270.768;-611.012;DKK;
10121752;10 - 19;2002;2019;182,78;-0,3;42,5;-;6.104;9.713;624;DKK;
33377789;10 - 19;2010;2019;238,09;18;49,2;-;5.400;2.006;534;DKK;
10125251;20 - 49;2003;2019;161,24;6,9;37,1;-;25.534;7.281;2.057;DKK;
10126061;50 - 99;2003;2019;266,85;25,5;68,3;-;67.484;68.762;19.896;DKK;
37494879;5 - 9;2016;2019;223,24;18,2;44,1;-;1.868;897;282;DKK;
10129095;50 - 99;1985;2019;140,59;10,3;24,4;-;31.691;8.289;2.080;DKK;
10131731;2 - 4;1984;2019;430,38;-33,8;77,6;-;-45;1.528;-643;DKK;
10134285;500 - 999;1986;2019;121,76;-12,8;16,8;1.428.922;284.022;114.422;-74.811;DKK;
10138515;20 - 49;2003;2019;124,62;12,7;25,2;-;10.175;2.130;266;DKK;
10138965;20 - 49;2003;2019;189,48;17,5;49,3;-;13.999;4.826;1.326;DKK;
10140854;20 - 49;2003;2019;140,31;3;29,4;-;5.328;2.844;120;DKK;
10141249;5 - 9;1986;2018;78,33;-6,9;-21,8;-;2.334;-845;-298;DKK;
10141621;5 - 9;2003;2019;180,16;12,5;63,1;-;2.133;1.196;177;DKK;
36946474;2 - 4;2015;2019;26,55;-34,3;42,7;-;943;279;-203;DKK;
10145619;5 - 9;2003;2019;125,73;8,1;35,4;-;1.713;1.498;467;DKK;
10148448;2 - 4;1986;2019;274,73;-4,7;67,5;-;521;530;-44;DKK;
10149665;2 - 4;2003;2019;134,72;12,2;39,4;-;1.333;347;78;DKK;
10154529;50 - 99;2003;2019;145,16;6,4;36,3;-;21.115;10.786;991;DKK;
10158826;5 - 9;2003;2019;119;5;35,6;-;2.069;1.321;46;DKK;
10160561;2 - 4;2003;2019;493,16;7,3;83,9;-;1.181;2.452;185;DKK;
36491280;-;2015;2018;88,44;16,9;24,1;-;231;297;152;DKK;
10163668;200 - 499;2003;2019;298,14;-1,6;16,1;341.766;107.876;129.337;17.151;DKK;
70152517;20 - 49;1984;2019;171,5;18,1;50,7;-;12.257;3.232;890;DKK;
10166470;100 - 199;1986;2019;121,99;13,3;28,2;149.637;74.733;29.599;10.089;DKK;
26107512;10 - 19;2001;2019;127,91;32,4;46,4;-;6.343;2.893;1.551;DKK;
10169291;20 - 49;1986;2019;631,19;-8;74,7;-;1.626;98.179;42.564;DKK;
10208009;20 - 49;1986;2019;300,04;14,7;69,4;-;12.225;6.772;1.100;DKK;
10209994;50 - 99;1986;2019;182,72;10,4;32;-;60.455;39.487;10.295;DKK;
10217970;20 - 49;1986;2019;196,28;4,6;38,4;-;24.989;10.836;797;DKK;
10221242;10 - 19;1986;2019;177,36;21,8;57,4;-;3.367;3.933;1.141;DKK;
10228395;50 - 99;1986;2019;136;7,2;48,4;-;35.648;23.934;2.064;DKK;
10238935;100 - 199;1986;2019;199,74;20,3;61,4;-;58.077;59.741;15.900;DKK;
27377521;10 - 19;2003;2018;260,59;15,7;40,2;-;5.664;1.594;495;DKK;
10245613;500 - 999;1917;2019;195,77;-7,7;64,3;936.962;360.324;414.561;-40.942;DKK;
10246415;200 - 499;1930;2019;113,55;4,7;54,7;1.071.295;78.711;323.617;21.350;DKK;
30609492;100 - 199;2007;2019;251,94;17,4;62,4;-;110.597;79.260;16.990;DKK;
87322416;50 - 99;1979;2019;179,79;11,3;45,9;917.678;201.211;344.179;60.364;DKK;
10285143;20 - 49;1986;2019;197,58;6,1;63,4;-;8.163;10.478;888;DKK;
10285372;20 - 49;1986;2019;83,75;-1,1;1,6;-;17.799;418;-267;DKK;
10286042;20 - 49;1986;2019;91,52;-0,2;18,6;-;14.396;5.340;-344;DKK;
10288789;10 - 19;1986;2019;123,99;13,9;24,4;-;9.306;5.563;1.882;DKK;
10290147;100 - 199;1986;2019;128,31;22,4;55,1;462.289;236.088;173.152;53.179;DKK;
10290244;10 - 19;1986;2019;238,38;0,9;11,3;-;8.386;1.911;-89;DKK;
10290511;100 - 199;1915;2019;112,91;16,5;64,7;572.414;205.868;329.640;67.788;DKK;
10290813;100 - 199;1968;2019;197,73;9,7;44,1;156.165;57.105;40.334;6.699;DKK;
10292883;10 - 19;1986;2019;165,89;13;33,5;-;6.145;8.900;2.532;DKK;
10298644;50 - 99;1986;2019;135,72;14,4;28,9;-;68.169;49.353;14.675;DKK;
10303303;5 - 9;1986;2019;157,65;1,2;52;-;2.825;3.252;41;DKK;
10311241;5 - 9;1986;2019;117,57;-0;32,4;-;2.757;763;27;DKK;
10315077;5 - 9;1986;2019;84,93;17,3;5,9;-;1.591;166;501;DKK;
10315204;-;1986;2019;58,8;12,6;62,1;-;374;937;146;DKK;
10325838;200 - 499;1986;2018;111,79;4,9;23,9;718.788;131.104;114.653;13.092;DKK;
10327903;10 - 19;1986;2019;92,89;2,9;17,6;-;3.789;1.121;60;DKK;
10329981;1;1986;2019;104,01;-11,4;-0,3;-;479;-4;-219;DKK;
10373816;200 - 499;1913;2019;112,56;6,8;36,8;13.604.000;-;1.302.100;149.400;DKK;
10391598;2 - 4;1986;2019;137,48;-1,3;58,6;-;1.279;1.717;-49;DKK;
25244230;10 - 19;2000;2019;102,28;5,3;25,2;-;8.724;4.957;356;DKK;
10396735;10 - 19;1986;2019;159,75;1,9;42;-;8.727;8.821;204;DKK;
10403782;-;1986;2019;114,42;7;23,3;12.147.000;1.761.000;3.345.000;700.000;EUR;
31873916;20 - 49;2008;2019;245,1;34,2;62,3;-;37.036;52.675;23.504;DKK;
33387997;20 - 49;2011;2019;149,12;16,1;37,6;-;24.902;10.665;3.531;DKK;
